Simulation Summary - All Geometry/Material Combos
Timestamp: 20250430_131054
Wave parameters: {'angle': 0, 'polarization': 1}
  λ=698.4924623115578 nm -> Rup=0.2962162331308895, Rdown=0.28216752217692187
  λ=701.5075376884422 nm -> Rup=0.3011532882777447, Rdown=0.28762701301767163
  λ=704.5226130653266 nm -> Rup=0.30608952253396, Rdown=0.29313756836765126
  λ=707.537688442211 nm -> Rup=0.31101679309125824, Rdown=0.29869619460419705
  λ=710.5527638190955 nm -> Rup=0.3158878730758395, Rdown=0.30424929569376014
  λ=713.5678391959799 nm -> Rup=0.3206488100196362, Rdown=0.30973359514292065
  λ=716.5829145728644 nm -> Rup=0.3253761447106428, Rdown=0.3152520410195411
  λ=719.5979899497488 nm -> Rup=0.3300617346097862, Rdown=0.32079641680649656
  λ=722.6130653266332 nm -> Rup=0.33466196426188755, Rdown=0.32631122971668725
  λ=725.6281407035176 nm -> Rup=0.33917308583376804, Rdown=0.3317937999788236
  λ=728.643216080402 nm -> Rup=0.343645081536809, Rdown=0.3373158071428301
  λ=731.6582914572864 nm -> Rup=0.3480696914730542, Rdown=0.34287858952540323
  λ=734.6733668341708 nm -> Rup=0.352371231505655, Rdown=0.3484017681493493
  λ=737.6884422110553 nm -> Rup=0.3565412864790898, Rdown=0.35390092537991463
  λ=740.7035175879397 nm -> Rup=0.3605827109672018, Rdown=0.3594111379201315
  λ=743.7185929648242 nm -> Rup=0.36445164707326855, Rdown=0.3649081092548856
  λ=746.7336683417086 nm -> Rup=0.3680499945647678, Rdown=0.37029329311786296
  λ=749.748743718593 nm -> Rup=0.3713518569064175, Rdown=0.37556111511361245
  λ=752.7638190954774 nm -> Rup=0.37434751283996714, Rdown=0.3807278041783153
  λ=755.7788944723618 nm -> Rup=0.3769906565001436, Rdown=0.3857630238622399
  λ=758.7939698492462 nm -> Rup=0.3791797633361228, Rdown=0.3905651047062746
  λ=761.8090452261306 nm -> Rup=0.3808655750260614, Rdown=0.3951076783065541
  λ=764.8241206030151 nm -> Rup=0.38200394823397954, Rdown=0.3993828562256682
  λ=767.8391959798995 nm -> Rup=0.3825014454883146, Rdown=0.40332667528778815
  λ=770.854271356784 nm -> Rup=0.3822190132133754, Rdown=0.4068111696128864
  λ=773.8693467336684 nm -> Rup=0.381031082538723, Rdown=0.4097336138429207
  λ=776.8844221105528 nm -> Rup=0.37882492849609456, Rdown=0.4120143913226691
  λ=779.8994974874372 nm -> Rup=0.3754509431651932, Rdown=0.4135116169319397
  λ=782.9145728643216 nm -> Rup=0.3707522037723388, Rdown=0.4140495298204734
  λ=785.929648241206 nm -> Rup=0.36460985743388274, Rdown=0.41346111230048804
  λ=788.9447236180904 nm -> Rup=0.35699440021672296, Rdown=0.4116817319800484
  λ=791.9597989949749 nm -> Rup=0.34791835104920377, Rdown=0.4086378932346719
  λ=794.9748743718593 nm -> Rup=0.3374567890704527, Rdown=0.40430181972165413
  λ=797.9899497487438 nm -> Rup=0.32570284381317594, Rdown=0.3986451830838812
  λ=801.0050251256282 nm -> Rup=0.3127758686309899, Rdown=0.3917341869818018
  λ=804.0201005025126 nm -> Rup=0.2987619591436072, Rdown=0.38356858095374424
  λ=807.035175879397 nm -> Rup=0.28376036957455864, Rdown=0.3741417439558271
  λ=810.0502512562814 nm -> Rup=0.2679799730300188, Rdown=0.36348197279110556
  λ=813.0653266331658 nm -> Rup=0.25167207651000983, Rdown=0.35170563418669726
  λ=816.0804020100502 nm -> Rup=0.2352705350643316, Rdown=0.3390656265087326
  λ=819.0954773869347 nm -> Rup=0.2193151214288971, Rdown=0.32593714437284743
  λ=822.1105527638191 nm -> Rup=0.20436222008498214, Rdown=0.3127597304487159
  λ=825.1256281407036 nm -> Rup=0.19087136281959285, Rdown=0.2999651019399927
  λ=828.140703517588 nm -> Rup=0.17910121137936788, Rdown=0.2878738851522122
  λ=831.1557788944724 nm -> Rup=0.16920272442298215, Rdown=0.2767075313980708
  λ=834.1708542713568 nm -> Rup=0.1612576053899405, Rdown=0.2666221693028782
  λ=837.1859296482412 nm -> Rup=0.15533801263173058, Rdown=0.25774943857119603
  λ=840.2010050251256 nm -> Rup=0.1514846346533202, Rdown=0.2502323452452823
  λ=843.21608040201 nm -> Rup=0.14970529338469482, Rdown=0.24418982766518654
  λ=846.2311557788945 nm -> Rup=0.14992084007245063, Rdown=0.23967904037658389
  λ=849.2462311557789 nm -> Rup=0.15196086958115443, Rdown=0.2366849293647546
  λ=852.2613065326634 nm -> Rup=0.155568617945796, Rdown=0.23511138567045603
  λ=855.2763819095478 nm -> Rup=0.1604478078073739, Rdown=0.2348053495144582
  λ=858.2914572864322 nm -> Rup=0.1662907295814382, Rdown=0.2355713413930754
  λ=861.3065326633166 nm -> Rup=0.17282426303069007, Rdown=0.23719736833512362
  λ=864.321608040201 nm -> Rup=0.17981710433060052, Rdown=0.23947854774381028
  λ=867.3366834170854 nm -> Rup=0.18713923418164177, Rdown=0.24228979889772753
  λ=870.3517587939698 nm -> Rup=0.19470724019600943, Rdown=0.24553825502337281
  λ=873.3668341708543 nm -> Rup=0.20246916931562198, Rdown=0.249164630826334
  λ=876.3819095477387 nm -> Rup=0.21037375428134547, Rdown=0.2531194344230768
  λ=879.3969849246232 nm -> Rup=0.21835792438221757, Rdown=0.25734466886612445
  λ=882.4120603015076 nm -> Rup=0.22638377646291497, Rdown=0.2618164860288477
  λ=885.427135678392 nm -> Rup=0.23438669422453098, Rdown=0.26648056186947355
  λ=888.4422110552764 nm -> Rup=0.24230709042272103, Rdown=0.27128047546359857
  λ=891.4572864321608 nm -> Rup=0.250078297695401, Rdown=0.2761467856321029
  λ=894.4723618090452 nm -> Rup=0.25767282782929485, Rdown=0.2810384795604688
  λ=897.4874371859296 nm -> Rup=0.26509845627719564, Rdown=0.2859448400082854
  λ=900.5025125628141 nm -> Rup=0.2723527874726375, Rdown=0.2908482267241782
  λ=903.5175879396985 nm -> Rup=0.2794355037919811, Rdown=0.29573635203480003
  λ=906.532663316583 nm -> Rup=0.2863270383722614, Rdown=0.30058000494155823
  λ=909.5477386934674 nm -> Rup=0.29302593248655856, Rdown=0.30537361458686996
  λ=912.5628140703518 nm -> Rup=0.29952608971715844, Rdown=0.310106138364416
  λ=915.5778894472362 nm -> Rup=0.30581461389534015, Rdown=0.3147573310430597
  λ=918.5929648241206 nm -> Rup=0.31188223077909805, Rdown=0.3193081848896828
  λ=921.6080402010051 nm -> Rup=0.31769986309183523, Rdown=0.32371554200621677
  λ=924.6231155778895 nm -> Rup=0.32329228600239635, Rdown=0.3279909372093816
  λ=927.6381909547739 nm -> Rup=0.3286728605210734, Rdown=0.3321348501757476
  λ=930.6532663316583 nm -> Rup=0.33386545020189495, Rdown=0.3361543293055039
  λ=933.6683417085427 nm -> Rup=0.33889848914926873, Rdown=0.3400622021913863
  λ=936.6834170854272 nm -> Rup=0.34378380626740357, Rdown=0.3438553499944812
  λ=939.6984924623116 nm -> Rup=0.34856745907891945, Rdown=0.34757016244738687
  λ=942.713567839196 nm -> Rup=0.3532838349037098, Rdown=0.351233485551296
  λ=945.7286432160804 nm -> Rup=0.3579584726435398, Rdown=0.35486730487374196
  λ=948.7437185929649 nm -> Rup=0.36260968493689105, Rdown=0.3584901963162159
  λ=951.7587939698493 nm -> Rup=0.36722666393580317, Rdown=0.36209371616676317
  λ=954.7738693467337 nm -> Rup=0.37182147027344226, Rdown=0.36569804037137843
  λ=957.7889447236181 nm -> Rup=0.37639022140934325, Rdown=0.3693077811232261
  λ=960.8040201005025 nm -> Rup=0.38091887110211253, Rdown=0.3729164219864315
  λ=963.819095477387 nm -> Rup=0.38538999992893375, Rdown=0.37651325419909565
  λ=966.8341708542714 nm -> Rup=0.3897752827778488, Rdown=0.38007313477828025
  λ=969.8492462311558 nm -> Rup=0.3940718030817245, Rdown=0.3835944377412271
  λ=972.8643216080402 nm -> Rup=0.39827769549959624, Rdown=0.38707631912793705
  λ=975.8793969849247 nm -> Rup=0.40238689183106635, Rdown=0.390511780602412
  λ=978.8944723618091 nm -> Rup=0.40639588920624353, Rdown=0.39389545296409767
  λ=981.9095477386935 nm -> Rup=0.41029446324923663, Rdown=0.39721388420689513
  λ=984.9246231155779 nm -> Rup=0.4140779546052954, Rdown=0.40045980556921906
  λ=987.9396984924623 nm -> Rup=0.4177627994299966, Rdown=0.40364637610436943
  λ=990.9547738693468 nm -> Rup=0.42135246516445063, Rdown=0.4067733229212211
  λ=993.9698492462312 nm -> Rup=0.4248515768571393, Rdown=0.40984129563605365
  λ=996.9849246231156 nm -> Rup=0.4282625108436709, Rdown=0.4128484048521102
  λ=1000.0 nm -> Rup=0.4315718521491458, Rdown=0.41577605503718496
----------------------------------------
